
/home/dl/anaconda3/envs/ly_transmvs/bin/python /home/dl/ly_pro/3DRecon/Recon_Ablation/Mobile_trans0918/train.py --logdir=./outputs/dtu_training --dataset=dtu_yao --batch_size=6 --epochs=16 --trainpath=/home/dl/dataset/DTU1/mvs_training/dtu/ --trainlist=lists/dtu/train.txt --testlist=lists/dtu/val.txt --numdepth=192 --ndepths=32,16,8,4 --nviews=5 --wd=0.0001 --depth_inter_r=8.0, 4.0,1.0,0.5 --lrepochs=6,8,12:2 --dlossw=1.0,1.0,1.0,1.0
current time 20230919_164239
creating new summary file
argv: ['--logdir=./outputs/dtu_training', '--dataset=dtu_yao', '--batch_size=6', '--epochs=16', '--trainpath=/home/dl/dataset/DTU1/mvs_training/dtu/', '--trainlist=lists/dtu/train.txt', '--testlist=lists/dtu/val.txt', '--numdepth=192', '--ndepths=32,16,8,4', '--nviews=5', '--wd=0.0001', '--depth_inter_r=8.0, 4.0,1.0,0.5', '--lrepochs=6,8,12:2', '--dlossw=1.0,1.0,1.0,1.0']
################################  args  ################################
mode      	train                         	<class 'str'>
model     	mvsnet                        	<class 'str'>
device    	cuda                          	<class 'str'>
dataset   	dtu_yao                       	<class 'str'>
trainpath 	/home/dl/dataset/DTU1/mvs_training/dtu/	<class 'str'>
testpath  	/home/dl/dataset/DTU1/mvs_training/dtu/	<class 'str'>
trainlist 	lists/dtu/train.txt           	<class 'str'>
testlist  	lists/dtu/val.txt             	<class 'str'>
epochs    	16                            	<class 'int'>
lr        	0.001                         	<class 'float'>
lrepochs  	6,8,12:2                      	<class 'str'>
wd        	0.0001                        	<class 'float'>
nviews    	5                             	<class 'int'>
batch_size	6                             	<class 'int'>
numdepth  	192                           	<class 'int'>
interval_scale	1.06                          	<class 'float'>
loadckpt  	None                          	<class 'NoneType'>
logdir    	./outputs/dtu_training        	<class 'str'>
resume    	False                         	<class 'bool'>
summary_freq	10                            	<class 'int'>
save_freq 	1                             	<class 'int'>
eval_freq 	1                             	<class 'int'>
seed      	1                             	<class 'int'>
pin_m     	False                         	<class 'bool'>
local_rank	0                             	<class 'int'>
share_cr  	False                         	<class 'bool'>
ndepths   	32,16,8,4                     	<class 'str'>
fea_channels	64,32,16,8                    	<class 'str'>
depth_inter_r	8.0, 4.0,1.0,0.5              	<class 'str'>
dlossw    	1.0,1.0,1.0,1.0               	<class 'str'>
cr_base_chs	8,8,8,4                       	<class 'str'>
grad_method	detach                        	<class 'str'>
using_apex	False                         	<class 'bool'>
sync_bn   	False                         	<class 'bool'>
opt_level 	O0                            	<class 'str'>
keep_batchnorm_fp32	None                          	<class 'NoneType'>
loss_scale	None                          	<class 'NoneType'>
########################################################################
**********netphs:[32, 16, 8, 4], depth_intervals_ratio:[8.0, 4.0, 1.0, 0.5],  grad:detach, chs:[8, 8, 8, 4]************
start at epoch 0
Number of model parameters: 3503673
Let's use 1 GPUs!
mvsdataset kwargs {}
dataset train metas: 27097
mvsdataset kwargs {}
dataset test metas: 6174
/home/dl/anaconda3/envs/ly_transmvs/lib/python3.8/site-packages/torch/functional.py:504: UserWarning: torch.meshgrid: in an upcoming release, it will be required to pass the indexing argument. (Triggered internally at ../aten/src/ATen/native/TensorShape.cpp:3190.)
  return _VF.meshgrid(tensors, **kwargs)  # type: ignore[attr-defined]
Epoch 0/16, Iter 0/4516, lr 0.000335, train loss = 19.949, depth loss = 155.916, entropy loss = 19.949, time = 7.534
Epoch 1/16, Iter 4254/4516, lr 0.001000, train loss = 4.876, depth loss = 4.562, entropy loss = 4.876, time = 1.584
Epoch 1/16, Iter 4264/4516, lr 0.001000, train loss = 5.750, depth loss = 5.058, entropy loss = 5.750, time = 1.574
Epoch 1/16, Iter 4274/4516, lr 0.001000, train loss = 5.617, depth loss = 5.936, entropy loss = 5.617, time = 1.582
Epoch 1/16, Iter 4284/4516, lr 0.001000, train loss = 5.500, depth loss = 3.830, entropy loss = 5.500, time = 1.573
Epoch 1/16, Iter 4294/4516, lr 0.001000, train loss = 5.699, depth loss = 7.616, entropy loss = 5.699, time = 1.584
Epoch 1/16, Iter 4304/4516, lr 0.001000, train loss = 6.455, depth loss = 6.967, entropy loss = 6.455, time = 1.579
Epoch 1/16, Iter 4314/4516, lr 0.001000, train loss = 5.473, depth loss = 3.560, entropy loss = 5.473, time = 1.579
Epoch 1/16, Iter 4324/4516, lr 0.001000, train loss = 5.128, depth loss = 4.776, entropy loss = 5.128, time = 1.582
Epoch 1/16, Iter 4334/4516, lr 0.001000, train loss = 5.198, depth loss = 2.706, entropy loss = 5.198, time = 1.587
Epoch 1/16, Iter 4344/4516, lr 0.001000, train loss = 4.875, depth loss = 4.308, entropy loss = 4.875, time = 1.579
Epoch 1/16, Iter 4354/4516, lr 0.001000, train loss = 6.765, depth loss = 10.699, entropy loss = 6.765, time = 1.583
Epoch 1/16, Iter 4364/4516, lr 0.001000, train loss = 5.899, depth loss = 8.575, entropy loss = 5.899, time = 1.585
Epoch 1/16, Iter 4374/4516, lr 0.001000, train loss = 5.742, depth loss = 4.346, entropy loss = 5.742, time = 1.586
Epoch 1/16, Iter 4384/4516, lr 0.001000, train loss = 4.604, depth loss = 3.149, entropy loss = 4.604, time = 1.589
Epoch 1/16, Iter 4394/4516, lr 0.001000, train loss = 4.925, depth loss = 6.443, entropy loss = 4.925, time = 1.573
Epoch 1/16, Iter 4404/4516, lr 0.001000, train loss = 6.544, depth loss = 13.561, entropy loss = 6.544, time = 1.586
Epoch 1/16, Iter 4414/4516, lr 0.001000, train loss = 5.441, depth loss = 3.524, entropy loss = 5.441, time = 1.592
Epoch 1/16, Iter 4424/4516, lr 0.001000, train loss = 4.873, depth loss = 2.832, entropy loss = 4.873, time = 1.585
Epoch 1/16, Iter 4434/4516, lr 0.001000, train loss = 5.495, depth loss = 5.883, entropy loss = 5.495, time = 1.587
Epoch 1/16, Iter 4444/4516, lr 0.001000, train loss = 5.095, depth loss = 3.068, entropy loss = 5.095, time = 1.582
Epoch 1/16, Iter 4454/4516, lr 0.001000, train loss = 4.645, depth loss = 3.598, entropy loss = 4.645, time = 1.572
Epoch 1/16, Iter 4464/4516, lr 0.001000, train loss = 4.949, depth loss = 2.490, entropy loss = 4.949, time = 1.575
Epoch 1/16, Iter 4474/4516, lr 0.001000, train loss = 5.663, depth loss = 6.366, entropy loss = 5.663, time = 1.595
Epoch 1/16, Iter 4484/4516, lr 0.001000, train loss = 5.093, depth loss = 5.713, entropy loss = 5.093, time = 1.584
Epoch 1/16, Iter 4494/4516, lr 0.001000, train loss = 4.863, depth loss = 4.279, entropy loss = 4.863, time = 1.578
Epoch 1/16, Iter 4504/4516, lr 0.001000, train loss = 5.546, depth loss = 2.883, entropy loss = 5.546, time = 1.585
Epoch 1/16, Iter 4514/4516, lr 0.001000, train loss = 5.203, depth loss = 4.425, entropy loss = 5.203, time = 1.578
Epoch 1/16, Iter 4/1029, test loss = 7.706, depth loss = 8.497, entropy loss = 7.706, time = 0.417509
Epoch 1/16, Iter 14/1029, test loss = 4.960, depth loss = 1.474, entropy loss = 4.960, time = 0.405556
Epoch 1/16, Iter 24/1029, test loss = 5.999, depth loss = 2.521, entropy loss = 5.999, time = 0.424269
Epoch 1/16, Iter 34/1029, test loss = 4.813, depth loss = 1.147, entropy loss = 4.813, time = 0.423553
Epoch 1/16, Iter 44/1029, test loss = 7.488, depth loss = 5.508, entropy loss = 7.488, time = 0.406157
Epoch 1/16, Iter 54/1029, test loss = 4.618, depth loss = 0.805, entropy loss = 4.618, time = 0.405232
Epoch 1/16, Iter 64/1029, test loss = 5.234, depth loss = 1.815, entropy loss = 5.234, time = 0.404523
Epoch 1/16, Iter 74/1029, test loss = 4.269, depth loss = 1.195, entropy loss = 4.269, time = 0.419848
Epoch 1/16, Iter 84/1029, test loss = 4.122, depth loss = 1.147, entropy loss = 4.122, time = 0.416467
Epoch 1/16, Iter 94/1029, test loss = 4.194, depth loss = 1.004, entropy loss = 4.194, time = 0.420899
Epoch 1/16, Iter 104/1029, test loss = 4.611, depth loss = 1.384, entropy loss = 4.611, time = 0.401258
Epoch 1/16, Iter 114/1029, test loss = 7.179, depth loss = 4.263, entropy loss = 7.179, time = 0.423614
Epoch 1/16, Iter 124/1029, test loss = 6.348, depth loss = 1.816, entropy loss = 6.348, time = 0.420861
Epoch 1/16, Iter 134/1029, test loss = 5.725, depth loss = 1.275, entropy loss = 5.725, time = 0.408518
Epoch 1/16, Iter 144/1029, test loss = 6.282, depth loss = 2.008, entropy loss = 6.282, time = 0.402294
Epoch 1/16, Iter 154/1029, test loss = 5.077, depth loss = 1.085, entropy loss = 5.077, time = 0.404759
Epoch 1/16, Iter 164/1029, test loss = 4.967, depth loss = 0.987, entropy loss = 4.967, time = 0.416472
Epoch 1/16, Iter 174/1029, test loss = 8.094, depth loss = 6.811, entropy loss = 8.094, time = 0.423237
Epoch 1/16, Iter 184/1029, test loss = 7.348, depth loss = 5.710, entropy loss = 7.348, time = 0.404035
Epoch 1/16, Iter 194/1029, test loss = 9.925, depth loss = 31.247, entropy loss = 9.925, time = 0.410792
Epoch 1/16, Iter 204/1029, test loss = 6.272, depth loss = 4.012, entropy loss = 6.272, time = 0.417368
Epoch 1/16, Iter 214/1029, test loss = 7.457, depth loss = 10.413, entropy loss = 7.457, time = 0.406529
Epoch 1/16, Iter 224/1029, test loss = 5.950, depth loss = 3.478, entropy loss = 5.950, time = 0.410615
Epoch 1/16, Iter 234/1029, test loss = 8.508, depth loss = 8.507, entropy loss = 8.508, time = 0.404541
Epoch 1/16, Iter 244/1029, test loss = 7.982, depth loss = 11.511, entropy loss = 7.982, time = 0.415514
Epoch 1/16, Iter 254/1029, test loss = 7.668, depth loss = 4.903, entropy loss = 7.668, time = 0.403679
Epoch 1/16, Iter 264/1029, test loss = 8.416, depth loss = 11.465, entropy loss = 8.416, time = 0.409669
Epoch 1/16, Iter 274/1029, test loss = 8.206, depth loss = 5.711, entropy loss = 8.206, time = 0.404226
Epoch 1/16, Iter 284/1029, test loss = 8.571, depth loss = 13.068, entropy loss = 8.571, time = 0.405531
Epoch 1/16, Iter 294/1029, test loss = 5.125, depth loss = 2.008, entropy loss = 5.125, time = 0.415907
Epoch 1/16, Iter 304/1029, test loss = 4.793, depth loss = 1.981, entropy loss = 4.793, time = 0.405493
Epoch 1/16, Iter 314/1029, test loss = 4.627, depth loss = 5.952, entropy loss = 4.627, time = 0.414633
Epoch 1/16, Iter 324/1029, test loss = 4.611, depth loss = 6.865, entropy loss = 4.611, time = 0.403751
Epoch 1/16, Iter 334/1029, test loss = 5.670, depth loss = 3.392, entropy loss = 5.670, time = 0.405573
Epoch 1/16, Iter 344/1029, test loss = 8.251, depth loss = 7.185, entropy loss = 8.251, time = 0.418657
Epoch 1/16, Iter 354/1029, test loss = 8.269, depth loss = 8.775, entropy loss = 8.269, time = 0.404047
Epoch 1/16, Iter 364/1029, test loss = 8.803, depth loss = 14.812, entropy loss = 8.803, time = 0.403281
Epoch 1/16, Iter 374/1029, test loss = 9.324, depth loss = 33.771, entropy loss = 9.324, time = 0.417361
Epoch 1/16, Iter 384/1029, test loss = 8.752, depth loss = 29.220, entropy loss = 8.752, time = 0.420834
Epoch 1/16, Iter 394/1029, test loss = 10.313, depth loss = 33.302, entropy loss = 10.313, time = 0.414448
Epoch 1/16, Iter 404/1029, test loss = 5.924, depth loss = 3.324, entropy loss = 5.924, time = 0.424970
Epoch 1/16, Iter 414/1029, test loss = 4.458, depth loss = 2.112, entropy loss = 4.458, time = 0.421236
Epoch 1/16, Iter 424/1029, test loss = 5.456, depth loss = 2.957, entropy loss = 5.456, time = 0.405503
Epoch 1/16, Iter 434/1029, test loss = 4.347, depth loss = 2.097, entropy loss = 4.347, time = 0.404378
Epoch 1/16, Iter 444/1029, test loss = 6.693, depth loss = 5.677, entropy loss = 6.693, time = 0.418448
Epoch 1/16, Iter 454/1029, test loss = 4.606, depth loss = 1.010, entropy loss = 4.606, time = 0.409564
Epoch 1/16, Iter 464/1029, test loss = 6.839, depth loss = 9.659, entropy loss = 6.839, time = 0.406504
Epoch 1/16, Iter 474/1029, test loss = 5.545, depth loss = 6.630, entropy loss = 5.545, time = 0.408181
Epoch 1/16, Iter 484/1029, test loss = 4.804, depth loss = 3.897, entropy loss = 4.804, time = 0.422380
Epoch 1/16, Iter 494/1029, test loss = 4.317, depth loss = 2.563, entropy loss = 4.317, time = 0.422368
Epoch 1/16, Iter 504/1029, test loss = 4.937, depth loss = 3.352, entropy loss = 4.937, time = 0.405162
Epoch 1/16, Iter 514/1029, test loss = 6.035, depth loss = 5.521, entropy loss = 6.035, time = 0.427773
Epoch 1/16, Iter 524/1029, test loss = 6.688, depth loss = 2.387, entropy loss = 6.688, time = 0.405085
Epoch 1/16, Iter 534/1029, test loss = 6.872, depth loss = 4.380, entropy loss = 6.872, time = 0.418838
Epoch 1/16, Iter 544/1029, test loss = 5.851, depth loss = 1.629, entropy loss = 5.851, time = 0.417557
Epoch 1/16, Iter 554/1029, test loss = 5.843, depth loss = 1.995, entropy loss = 5.843, time = 0.420994
Epoch 1/16, Iter 564/1029, test loss = 5.579, depth loss = 1.625, entropy loss = 5.579, time = 0.408398
Epoch 1/16, Iter 574/1029, test loss = 4.167, depth loss = 4.762, entropy loss = 4.167, time = 0.406569
Epoch 1/16, Iter 584/1029, test loss = 3.733, depth loss = 1.919, entropy loss = 3.733, time = 0.403982
Epoch 1/16, Iter 594/1029, test loss = 3.985, depth loss = 5.748, entropy loss = 3.985, time = 0.404842
Epoch 1/16, Iter 604/1029, test loss = 3.193, depth loss = 1.410, entropy loss = 3.193, time = 0.415555
Epoch 1/16, Iter 614/1029, test loss = 3.207, depth loss = 1.700, entropy loss = 3.207, time = 0.415766
Epoch 1/16, Iter 624/1029, test loss = 3.464, depth loss = 1.244, entropy loss = 3.464, time = 0.405039
Epoch 1/16, Iter 634/1029, test loss = 6.545, depth loss = 2.739, entropy loss = 6.545, time = 0.421848
Epoch 1/16, Iter 644/1029, test loss = 6.381, depth loss = 2.720, entropy loss = 6.381, time = 0.404963
Epoch 1/16, Iter 654/1029, test loss = 5.857, depth loss = 4.427, entropy loss = 5.857, time = 0.404808
Epoch 1/16, Iter 664/1029, test loss = 6.186, depth loss = 2.966, entropy loss = 6.186, time = 0.403223
Epoch 1/16, Iter 674/1029, test loss = 6.657, depth loss = 4.592, entropy loss = 6.657, time = 0.422183
Epoch 1/16, Iter 684/1029, test loss = 6.051, depth loss = 3.218, entropy loss = 6.051, time = 0.404931
Epoch 1/16, Iter 694/1029, test loss = 5.395, depth loss = 2.357, entropy loss = 5.395, time = 0.404477
Epoch 1/16, Iter 704/1029, test loss = 5.050, depth loss = 2.213, entropy loss = 5.050, time = 0.406299
Epoch 1/16, Iter 714/1029, test loss = 5.033, depth loss = 2.282, entropy loss = 5.033, time = 0.404400
Epoch 1/16, Iter 724/1029, test loss = 4.556, depth loss = 2.083, entropy loss = 4.556, time = 0.403752
Epoch 1/16, Iter 734/1029, test loss = 5.542, depth loss = 2.019, entropy loss = 5.542, time = 0.405286
Epoch 1/16, Iter 744/1029, test loss = 5.437, depth loss = 4.209, entropy loss = 5.437, time = 0.422974
Epoch 1/16, Iter 754/1029, test loss = 5.512, depth loss = 4.942, entropy loss = 5.512, time = 0.421406
Epoch 1/16, Iter 764/1029, test loss = 5.742, depth loss = 4.622, entropy loss = 5.742, time = 0.413949
Epoch 1/16, Iter 774/1029, test loss = 4.848, depth loss = 4.822, entropy loss = 4.848, time = 0.402691
Epoch 1/16, Iter 784/1029, test loss = 5.170, depth loss = 2.007, entropy loss = 5.170, time = 0.406911
Epoch 1/16, Iter 794/1029, test loss = 4.713, depth loss = 4.097, entropy loss = 4.713, time = 0.406574
Epoch 1/16, Iter 804/1029, test loss = 8.066, depth loss = 7.658, entropy loss = 8.066, time = 0.415989
Epoch 1/16, Iter 814/1029, test loss = 8.590, depth loss = 11.487, entropy loss = 8.590, time = 0.415465
Epoch 1/16, Iter 824/1029, test loss = 7.426, depth loss = 20.608, entropy loss = 7.426, time = 0.417120
Epoch 1/16, Iter 834/1029, test loss = 8.886, depth loss = 11.500, entropy loss = 8.886, time = 0.402228
Epoch 1/16, Iter 844/1029, test loss = 7.972, depth loss = 14.834, entropy loss = 7.972, time = 0.404444
Epoch 1/16, Iter 854/1029, test loss = 8.729, depth loss = 7.376, entropy loss = 8.729, time = 0.418054
Epoch 1/16, Iter 864/1029, test loss = 8.772, depth loss = 10.595, entropy loss = 8.772, time = 0.421973
Epoch 1/16, Iter 874/1029, test loss = 8.279, depth loss = 10.028, entropy loss = 8.279, time = 0.422111
Epoch 1/16, Iter 884/1029, test loss = 7.709, depth loss = 4.674, entropy loss = 7.709, time = 0.405369
Epoch 1/16, Iter 894/1029, test loss = 8.234, depth loss = 8.630, entropy loss = 8.234, time = 0.415427
Epoch 1/16, Iter 904/1029, test loss = 7.766, depth loss = 4.392, entropy loss = 7.766, time = 0.404003
Epoch 1/16, Iter 914/1029, test loss = 10.069, depth loss = 25.874, entropy loss = 10.069, time = 0.417177
Epoch 1/16, Iter 924/1029, test loss = 4.513, depth loss = 1.916, entropy loss = 4.513, time = 0.421268
Epoch 1/16, Iter 934/1029, test loss = 4.527, depth loss = 2.199, entropy loss = 4.527, time = 0.404271
Epoch 1/16, Iter 944/1029, test loss = 4.176, depth loss = 1.918, entropy loss = 4.176, time = 0.406139
Epoch 1/16, Iter 954/1029, test loss = 3.802, depth loss = 1.294, entropy loss = 3.802, time = 0.418073
Epoch 1/16, Iter 964/1029, test loss = 3.621, depth loss = 0.959, entropy loss = 3.621, time = 0.420592
Epoch 1/16, Iter 974/1029, test loss = 5.452, depth loss = 4.118, entropy loss = 5.452, time = 0.429553
Epoch 1/16, Iter 984/1029, test loss = 4.400, depth loss = 1.709, entropy loss = 4.400, time = 0.404242
Epoch 1/16, Iter 994/1029, test loss = 4.029, depth loss = 1.868, entropy loss = 4.029, time = 0.403439
Epoch 1/16, Iter 1004/1029, test loss = 3.667, depth loss = 1.056, entropy loss = 3.667, time = 0.412465
Epoch 1/16, Iter 1014/1029, test loss = 3.359, depth loss = 1.241, entropy loss = 3.359, time = 0.405263
Epoch 1/16, Iter 1024/1029, test loss = 3.731, depth loss = 1.472, entropy loss = 3.731, time = 0.400741
avg_test_scalars: {'loss': 6.102652841916469, 'depth_loss': 6.20988695272783, 'entropy_loss': 6.102652841916469, 'abs_depth_error': 6.644254190928734, 'thres2mm_error': 0.262091658629325, 'thres4mm_error': 0.16836657256079862, 'thres8mm_error': 0.10894027015735532, 'thres14mm_error': 0.07389908692884585, 'thres20mm_error': 0.058684527018583545, 'thres2mm_abserror': 0.7207358186400203, 'thres4mm_abserror': 2.7528369672328554, 'thres8mm_abserror': 5.630630000571352, 'thres14mm_abserror': 10.551124739577402, 'thres20mm_abserror': 16.641895746466485, 'thres>20mm_abserror': 67.85169539159658}
Epoch 2/16, Iter 8/4516, lr 0.001000, train loss = 6.336, depth loss = 3.774, entropy loss = 6.336, time = 1.575
Epoch 2/16, Iter 18/4516, lr 0.001000, train loss = 5.349, depth loss = 4.345, entropy loss = 5.349, time = 1.580
Epoch 2/16, Iter 28/4516, lr 0.001000, train loss = 4.189, depth loss = 1.693, entropy loss = 4.189, time = 1.573
Epoch 2/16, Iter 38/4516, lr 0.001000, train loss = 5.100, depth loss = 3.969, entropy loss = 5.100, time = 1.587
Epoch 2/16, Iter 48/4516, lr 0.001000, train loss = 5.366, depth loss = 3.452, entropy loss = 5.366, time = 1.586
Epoch 2/16, Iter 58/4516, lr 0.001000, train loss = 5.571, depth loss = 5.049, entropy loss = 5.571, time = 1.577
Epoch 2/16, Iter 68/4516, lr 0.001000, train loss = 5.720, depth loss = 6.352, entropy loss = 5.720, time = 1.575
Epoch 2/16, Iter 78/4516, lr 0.001000, train loss = 6.650, depth loss = 7.031, entropy loss = 6.650, time = 1.577
Epoch 2/16, Iter 88/4516, lr 0.001000, train loss = 6.143, depth loss = 7.099, entropy loss = 6.143, time = 1.570
Epoch 2/16, Iter 98/4516, lr 0.001000, train loss = 5.002, depth loss = 5.844, entropy loss = 5.002, time = 1.585
Epoch 2/16, Iter 108/4516, lr 0.001000, train loss = 5.574, depth loss = 4.989, entropy loss = 5.574, time = 1.579
Epoch 2/16, Iter 118/4516, lr 0.001000, train loss = 5.741, depth loss = 3.971, entropy loss = 5.741, time = 1.580
Epoch 2/16, Iter 128/4516, lr 0.001000, train loss = 5.563, depth loss = 4.661, entropy loss = 5.563, time = 1.575
Epoch 2/16, Iter 138/4516, lr 0.001000, train loss = 5.310, depth loss = 4.522, entropy loss = 5.310, time = 1.589
Epoch 2/16, Iter 148/4516, lr 0.001000, train loss = 6.081, depth loss = 7.270, entropy loss = 6.081, time = 1.584
Epoch 2/16, Iter 158/4516, lr 0.001000, train loss = 4.526, depth loss = 2.242, entropy loss = 4.526, time = 1.580
Epoch 2/16, Iter 168/4516, lr 0.001000, train loss = 5.787, depth loss = 8.220, entropy loss = 5.787, time = 1.583
Epoch 2/16, Iter 178/4516, lr 0.001000, train loss = 4.713, depth loss = 2.234, entropy loss = 4.713, time = 1.576
Epoch 2/16, Iter 188/4516, lr 0.001000, train loss = 5.359, depth loss = 8.296, entropy loss = 5.359, time = 1.577
Epoch 2/16, Iter 198/4516, lr 0.001000, train loss = 5.095, depth loss = 3.927, entropy loss = 5.095, time = 1.579
Epoch 2/16, Iter 208/4516, lr 0.001000, train loss = 5.699, depth loss = 4.410, entropy loss = 5.699, time = 1.575
Epoch 2/16, Iter 218/4516, lr 0.001000, train loss = 5.826, depth loss = 4.939, entropy loss = 5.826, time = 1.577
Epoch 2/16, Iter 228/4516, lr 0.001000, train loss = 5.332, depth loss = 6.265, entropy loss = 5.332, time = 1.578
Epoch 2/16, Iter 238/4516, lr 0.001000, train loss = 5.635, depth loss = 2.735, entropy loss = 5.635, time = 1.574
Epoch 2/16, Iter 248/4516, lr 0.001000, train loss = 6.165, depth loss = 10.572, entropy loss = 6.165, time = 1.578
Epoch 2/16, Iter 258/4516, lr 0.001000, train loss = 4.922, depth loss = 2.332, entropy loss = 4.922, time = 1.584
Epoch 2/16, Iter 268/4516, lr 0.001000, train loss = 4.950, depth loss = 4.241, entropy loss = 4.950, time = 1.583
Epoch 2/16, Iter 278/4516, lr 0.001000, train loss = 5.408, depth loss = 7.926, entropy loss = 5.408, time = 1.582
Epoch 2/16, Iter 288/4516, lr 0.001000, train loss = 5.332, depth loss = 6.459, entropy loss = 5.332, time = 1.585
Epoch 2/16, Iter 298/4516, lr 0.001000, train loss = 4.758, depth loss = 4.637, entropy loss = 4.758, time = 1.571
Epoch 2/16, Iter 308/4516, lr 0.001000, train loss = 6.033, depth loss = 7.846, entropy loss = 6.033, time = 1.574
Epoch 2/16, Iter 318/4516, lr 0.001000, train loss = 6.454, depth loss = 8.783, entropy loss = 6.454, time = 1.597
Epoch 2/16, Iter 328/4516, lr 0.001000, train loss = 5.056, depth loss = 5.251, entropy loss = 5.056, time = 1.583
Epoch 2/16, Iter 338/4516, lr 0.001000, train loss = 4.955, depth loss = 1.761, entropy loss = 4.955, time = 1.578
Epoch 2/16, Iter 348/4516, lr 0.001000, train loss = 6.164, depth loss = 10.103, entropy loss = 6.164, time = 1.601
Epoch 2/16, Iter 358/4516, lr 0.001000, train loss = 6.349, depth loss = 6.887, entropy loss = 6.349, time = 1.576
Epoch 2/16, Iter 368/4516, lr 0.001000, train loss = 6.085, depth loss = 7.535, entropy loss = 6.085, time = 1.578
Epoch 2/16, Iter 378/4516, lr 0.001000, train loss = 5.528, depth loss = 6.853, entropy loss = 5.528, time = 1.600
Epoch 2/16, Iter 388/4516, lr 0.001000, train loss = 6.169, depth loss = 14.058, entropy loss = 6.169, time = 1.590
Epoch 2/16, Iter 398/4516, lr 0.001000, train loss = 6.484, depth loss = 10.884, entropy loss = 6.484, time = 1.581
Epoch 2/16, Iter 408/4516, lr 0.001000, train loss = 5.727, depth loss = 8.765, entropy loss = 5.727, time = 1.582
Epoch 2/16, Iter 418/4516, lr 0.001000, train loss = 6.055, depth loss = 11.002, entropy loss = 6.055, time = 1.598
Epoch 2/16, Iter 428/4516, lr 0.001000, train loss = 7.565, depth loss = 21.118, entropy loss = 7.565, time = 1.581
Epoch 2/16, Iter 438/4516, lr 0.001000, train loss = 5.689, depth loss = 6.436, entropy loss = 5.689, time = 1.584
Epoch 2/16, Iter 448/4516, lr 0.001000, train loss = 5.734, depth loss = 6.460, entropy loss = 5.734, time = 1.586
Epoch 2/16, Iter 458/4516, lr 0.001000, train loss = 4.705, depth loss = 2.213, entropy loss = 4.705, time = 1.569
Epoch 2/16, Iter 468/4516, lr 0.001000, train loss = 5.627, depth loss = 6.850, entropy loss = 5.627, time = 1.576
Epoch 2/16, Iter 478/4516, lr 0.001000, train loss = 5.648, depth loss = 4.153, entropy loss = 5.648, time = 1.590
Epoch 2/16, Iter 488/4516, lr 0.001000, train loss = 5.929, depth loss = 5.378, entropy loss = 5.929, time = 1.579
Epoch 2/16, Iter 498/4516, lr 0.001000, train loss = 6.168, depth loss = 4.126, entropy loss = 6.168, time = 1.579
Epoch 2/16, Iter 508/4516, lr 0.001000, train loss = 5.413, depth loss = 3.678, entropy loss = 5.413, time = 1.581
Epoch 2/16, Iter 518/4516, lr 0.001000, train loss = 5.037, depth loss = 3.305, entropy loss = 5.037, time = 1.588
Epoch 2/16, Iter 528/4516, lr 0.001000, train loss = 6.391, depth loss = 11.134, entropy loss = 6.391, time = 1.585
Epoch 2/16, Iter 538/4516, lr 0.001000, train loss = 6.687, depth loss = 10.073, entropy loss = 6.687, time = 1.581
Epoch 2/16, Iter 548/4516, lr 0.001000, train loss = 5.163, depth loss = 2.631, entropy loss = 5.163, time = 1.581
Epoch 2/16, Iter 558/4516, lr 0.001000, train loss = 5.524, depth loss = 7.469, entropy loss = 5.524, time = 1.581
Epoch 2/16, Iter 568/4516, lr 0.001000, train loss = 6.196, depth loss = 4.922, entropy loss = 6.196, time = 1.583
Epoch 2/16, Iter 578/4516, lr 0.001000, train loss = 5.838, depth loss = 4.995, entropy loss = 5.838, time = 1.576
Epoch 2/16, Iter 588/4516, lr 0.001000, train loss = 5.289, depth loss = 2.819, entropy loss = 5.289, time = 1.582
Epoch 2/16, Iter 598/4516, lr 0.001000, train loss = 5.494, depth loss = 4.332, entropy loss = 5.494, time = 1.581
Epoch 2/16, Iter 608/4516, lr 0.001000, train loss = 5.415, depth loss = 3.227, entropy loss = 5.415, time = 1.580
Epoch 2/16, Iter 618/4516, lr 0.001000, train loss = 5.446, depth loss = 7.088, entropy loss = 5.446, time = 1.579
Epoch 2/16, Iter 628/4516, lr 0.001000, train loss = 6.191, depth loss = 5.653, entropy loss = 6.191, time = 1.585
Epoch 2/16, Iter 638/4516, lr 0.001000, train loss = 5.668, depth loss = 6.041, entropy loss = 5.668, time = 1.588
Epoch 2/16, Iter 648/4516, lr 0.001000, train loss = 6.216, depth loss = 7.284, entropy loss = 6.216, time = 1.580
Epoch 2/16, Iter 658/4516, lr 0.001000, train loss = 4.856, depth loss = 4.343, entropy loss = 4.856, time = 1.586
Epoch 2/16, Iter 668/4516, lr 0.001000, train loss = 4.569, depth loss = 4.626, entropy loss = 4.569, time = 1.578
Epoch 2/16, Iter 678/4516, lr 0.001000, train loss = 6.296, depth loss = 7.074, entropy loss = 6.296, time = 1.588
Epoch 2/16, Iter 688/4516, lr 0.001000, train loss = 5.888, depth loss = 5.291, entropy loss = 5.888, time = 1.586
Epoch 2/16, Iter 698/4516, lr 0.001000, train loss = 4.951, depth loss = 4.967, entropy loss = 4.951, time = 1.586
Epoch 2/16, Iter 708/4516, lr 0.001000, train loss = 6.701, depth loss = 11.481, entropy loss = 6.701, time = 1.580
